Sample Name,CT
preT_1009,23.22005463
preT_1009,23.16961098
preT_1009,23.26952553
preT_917,41.01766968
preT_917,39.58707428
preT_917,44.73960876
preT_1018,22.76126862
preT_1018,22.67782784
preT_1018,22.37844086
preT_1008,22.03359032
preT_1008,21.97784615
preT_1008,21.79862213
preT_916,27.99747658
preT_916,27.79193687
preT_916,29.00770378
preT_1028,22.74975395
preT_1028,22.14201164
preT_1028,21.7472229
preT_1017,23.68069649
preT_1017,23.59074211
preT_1017,23.46900368
preT_1003,38.73350143
preT_1003,36.7021637
preT_1003,40.58158112
preT_912,23.72319984
preT_912,23.6262207
preT_912,24.59705162
preT_1027,Undetermined
preT_1027,Undetermined
preT_1027,Undetermined
preT_1014,20.79847527
preT_1014,20.71067047
preT_1014,20.63814926
preT_1001,29.38095856
preT_1001,29.20256424
preT_1001,29.26230621
preT_911,19.69548798
preT_911,19.43118477
preT_911,20.78986359
preT_1026,24.43585587
preT_1026,23.72571373
preT_1026,23.63636398
preT_1013,26.72657776
preT_1013,26.68906784
preT_1013,26.73215675
preT_930,25.47045898
preT_930,25.50306892
preT_930,25.4872036
preT_907,27.37967682
preT_907,27.1325016
preT_907,28.91811562
preT_1025,18.2621212
preT_1025,17.52928925
preT_1025,16.71273422
preT_1013,21.42825317
preT_1013,21.40585136
preT_1013,21.34259796
preT_926,25.55586624
preT_926,25.72097778
preT_926,25.93640137
preT_906,23.42045403
preT_906,23.2410965
preT_906,24.44081306
preT_1023,20.61540413
preT_1023,19.70230293
preT_1023,19.51300049
preT_1012,23.12848473
preT_1012,22.95522308
preT_1012,22.86867523
preT_923,21.56031418
preT_923,21.64992332
preT_923,21.56815338
preT_903,24.41153145
preT_903,24.26276016
preT_903,25.24493599
preT_1022,27.46597862
preT_1022,25.81168556
preT_1022,25.66329384
preT_1011,42.02318954
preT_1011,37.48744965
preT_1011,41.98511887
preT_922,37.26047897
preT_922,37.47937775
preT_922,35.98666382
preT_902,27.28612518
preT_902,26.65292358
preT_902,28.41114044
preT_1029,27.47173309
preT_1029,26.63964272
preT_1029,26.88765144
preT_1029,26.89385796
preT_1106,22.16872406
preT_1106,22.1289711
preT_1126,22.34732819
preT_1126,22.55529213
preT_1126,22.69606972
preT_1216,29.02205276
preT_1216,28.81926918
preT_1216,29.96185875
preT_1030,26.22966576
preT_1030,25.673563
preT_1030,25.85026932
preT_1030,25.87186432
preT_1107,24.42185783
preT_1107,24.46267509
preT_1131,26.64741516
preT_1131,26.67497635
preT_1131,26.94388962
preT_1217,40.87083054
preT_1217,37.35246277
preT_1217,37.63781738
preT_1046,25.0034256
preT_1046,24.63243866
preT_1046,24.48895454
preT_1046,24.83645058
preT_1115,26.85313606
preT_1115,26.90022087
preT_1202,22.6722393
preT_1202,22.7458477
preT_1202,22.79807663
preT_1218,23.58449936
preT_1218,23.56375694
preT_1218,24.04404449
preT_1047,24.86168098
preT_1047,24.09745026
preT_1047,24.27878761
preT_1047,24.28467751
preT_1116,29.31389618
preT_1116,28.99474525
preT_1203,41.99779892
preT_1203,38.9799881
preT_1203,39.48596573
preT_1222,29.45343208
preT_1222,29.34959221
preT_1222,29.72549629
preT_1048,27.55911064
preT_1048,27.12650681
preT_1048,27.08550072
preT_1048,27.15452194
preT_1121,26.30912781
preT_1121,26.29920959
preT_1204,26.25576973
preT_1204,26.20406723
preT_1204,26.3455143
preT_1224,22.46208954
preT_1224,22.36155128
preT_1224,22.94241905
preT_1101,22.50819969
preT_1101,21.71414757
preT_1101,22.04261589
preT_1101,22.05789948
preT_1122,25.65895271
preT_1122,25.59414864
preT_1209,21.67070198
preT_1209,21.83385277
preT_1209,21.83907127
preT_1102,Undetermined
preT_1102,Undetermined
preT_1102,37.95015335
preT_1102,Undetermined
preT_1123,28.7450428
preT_1123,28.56622696
preT_1211,Undetermined
preT_1211,Undetermined
preT_1211,Undetermined
preT_1104,27.16209602
preT_1104,26.28473282
preT_1104,26.16664314
preT_1104,26.19765282
preT_1124,39.57933426
preT_1124,38.52127838
preT_1214,27.40276337
preT_1214,27.56471252
preT_1214,27.5561142
preT_1225,Undetermined
preT_1225,42.00452042
preT_1225,Undetermined
preT_1307,37.45536423
preT_1307,35.45973587
preT_1307,34.79278564
preT_1320,26.62968063
preT_1320,27.10464287
preT_1320,27.56120872
preT_1329,21.58447456
preT_1329,21.52546692
preT_1329,22.92617607
preT_1226,35.48491669
preT_1226,34.53158951
preT_1226,32.47863388
preT_1310,20.51452637
preT_1310,20.35395241
preT_1310,20.49977303
preT_1321,26.62984085
preT_1321,27.24040031
preT_1321,26.35715485
preT_1331,18.84634018
preT_1331,18.84078026
preT_1331,19.659832
preT_1227,27.16072273
preT_1227,26.6076107
preT_1227,26.60259819
preT_1312,20.80173302
preT_1312,20.76328659
preT_1312,20.80866241
preT_1323,Undetermined
preT_1323,Undetermined
preT_1323,Undetermined
preT_1332,20.74347878
preT_1332,20.56320763
preT_1332,21.39601707
preT_1230,Undetermined
preT_1230,Undetermined
preT_1230,Undetermined
preT_1313,Undetermined
preT_1313,38.72704315
preT_1313,Undetermined
preT_1324,Undetermined
preT_1324,Undetermined
preT_1324,Undetermined
preT_1340,23.6846962
preT_1340,23.73034859
preT_1340,24.55913353
preT_1233,24.57474136
preT_1233,23.86583519
preT_1233,23.65190506
preT_1316,35.4222908
preT_1316,34.90567398
preT_1316,33.7987442
